URL,Product Name,Price (in ₹),Prodcut ratings,Number of reviews
www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,799,4.4 out of 5 stars,150
www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5,"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag,office bag for Men and Women | College Bags for Girls & Boys (Zyden)",849,3.9 out of 5 stars,177
www.amazon.in/ZIPLINE-Polyester-Backpack-College-Outdoor/dp/B09XN3YD4Q,Zipline Unisex Casual Polyester 36 L Blue Backpack School Bag Women Men Boys Girls College Bag,849,4.0 out of 5 stars,135
www.amazon.in/TRUE-HUMAN%C2%AE-Laptop-Backpack-College/dp/B0BKTQ48D5,TRUE HUMAN® 32 Ltr Laptop Backpack for Men and Women| USB Port Travel Backpack|College Bags for Girls & Boys (Blue),999,3.9 out of 5 stars,2
www.amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G,"Bennett 15.6 inch Laptop Bag Men/Women, 25 L Water Resistant School/College Backpack with Padded Laptop Compartment for Apple/Dell/Lenovo/Asus/Hp/Mi/MacBook/Ultrabook/Thinkpad/Ideapad (Blue)",699,4.4 out of 5 stars,322
www.amazon.in/bg1905-Capacity-Laptop-Travelling-Backpack/dp/B082MKHDJ1,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,"1,199",4.3 out of 5 stars,10
www.amazon.in/Arctic-Hunter-Hustle-Anti-Theft-Waterproof/dp/B0978KPKQJ,"WALKENT ARCTIC HUNTER 17"" inch Laptop Bag 41L (Model Hustle) Expandable, Waterproof, External USB, Anti-Theft Backpack for Office Men Women",999,4.0 out of 5 stars,2
www.amazon.in/Storite-Canvas-Backpack-Charging-Brown/dp/B0B7XBZYFS,"Storite Vintage Canvas Laptop Backpack for Women Men, School College Bag with USB Charging Port Fashion Backpack Fits 14Inch Notebook, (Brown,30x12x41 Cm)","5,447",4.0 out of 5 stars,"1,727"
www.amazon.in/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft Travel Backpack,"5,455",4.0 out of 5 stars,9
www.amazon.in/Anti-theft-Backpack-Separate-Semi-Hard-Resistant/dp/B0B6FXRBR8,"Arctic Hunter Business Backpack Anti-theft Laptop Bag for Men with Customs Lock and Separate Small Packet,Semi-Hard Gaming Bag for 15.6 inch Laptop Stylish Backpack for Men Water-resistant/Scratch-resistant, Black","1,191",4.3 out of 5 stars,1
